reference	startpos	ref length	number of reads	covbases	% coverage	meandepth	meanbaseq	meanmapq	taxid	superkingdom	kingdom	phylum	class	order	family	genus	species	mean	sd	Coefficient of Variance	pcreads
NR_028684.1	1	1521	1	1334	87.7055	0.877055	16.9	1.0	66199	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Syntrophomonadaceae	Syntrophomonas	Syntrophomonas sapovorans	0.8770545693622617	0.32837456010330796	0.37440607639964874	0.0
NR_028689.1	1	1517	3	1510	99.5386	2.86157	39.5	7.67	69473	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Paracholeplasma	Paracholeplasma vituli	2.8615688859591297	0.4468666758734769	0.15616142531676214	0.0
NR_028691.1	1	1522	7	1232	80.9461	5.48292	40.4	4.57	74700	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Entomoplasma	Entomoplasma freundtii	5.482917214191853	2.7576266061705526	0.5029487950379365	0.01
NR_028698.1	1	1467	2	1092	74.4376	1.20791	34.2	1.0	1031753	Bacteria	Pseudomonadati	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter lanienae	1.2079072937968645	0.8221491925105254	0.6806393145671223	0.0
NR_028705.1	1	1513	1	1410	93.1923	0.931923	32.2	0.0	44007	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus pseudoavium	0.9319233311302049	0.2518774226193915	0.27027697902350306	0.0
NR_028711.1	1	1491	11	1401	93.9638	9.97183	35.3	2.45	80883	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Giesbergeria	Giesbergeria sinuosa	9.971830985915492	2.6518051128261257	0.2659296087721115	0.01
NR_028712.1	1	1512	3	1490	98.545	2.47553	39.3	1.0	80882	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Simplicispira	Simplicispira psychrophila	2.4755291005291005	0.8838253259695332	0.35702481775739625	0.0
NR_028713.1	1	1495	3	1491	99.7324	2.73712	38.6	1.0	80879	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter	Curvibacter delicatus	2.737123745819398	0.4822533730215411	0.17618983203010846	0.0
NR_028715.1	1	1512	8	1509	99.8016	7.63228	39.4	47.8	80878	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax temperans	7.632275132275132	0.6703987666402778	0.08783734273484402	0.01
NR_028717.1	1	1513	3	1508	99.6695	2.77528	33.7	1.0	47421	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga pseudoflava	2.7752808988764044	0.5035206556237707	0.18143051963771495	0.0
NR_028718.1	1	1513	45	1506	99.5373	37.9075	38.1	5.69	65657	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga flava	37.907468605419695	12.376636348374563	0.32649598624491255	0.05
NR_028719.1	1	1519	7	1513	99.605	6.0237	33.6	1.0	32013	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas terrigena	6.023699802501646	1.8867101837288822	0.31321451028242314	0.01
NR_028721.1	1	1517	1	1241	81.8062	0.818062	14.7	1.0	79599	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Heliobacteriaceae	Heliorestis	Heliorestis daurensis	0.8180619644034278	0.3857934509550853	0.471594411844371	0.0
NR_028725.2	1	1542	1	1013	65.6939	0.656939	40.3	1.0	1624	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus salivarius	0.6569390402075227	0.4747316480483925	0.7226418571477011	0.0
NR_028726.1	1	1502	4	1501	99.9334	3.4494	42.2	4.75	94868	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lacrimispora	Lacrimispora algidixylanolytica	3.4494007989347537	0.6212260014033616	0.18009678712755242	0.0
NR_028730.1	1	1489	1	1289	86.5682	0.865682	32.8	1.0	84981	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfofabaceae	Desulfofaba	Desulfofaba gelida	0.8656816655473473	0.34099401678404334	0.3939023203967731	0.0
NR_028733.1	1	1465	2	1209	82.5256	1.62116	44.0	5.5	84110	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	Slackia heliotrinireducens	1.621160409556314	0.7647275395614158	0.4717161454557786	0.0
NR_028740.1	1	1533	1	1429	93.2159	0.932159	39.8	1.0	100134	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna	Anaerocolumna xylanovorans	0.9321591650358774	0.2514725751955803	0.26977428815593046	0.0
NR_028759.1	1	1527	1	1457	95.4158	0.954158	30.8	1.0	110505	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium heckeshornense	0.954158480681074	0.20914127862633564	0.21918924671407997	0.0
NR_028771.1	1	1489	4	1468	98.5897	3.49295	39.3	0.75	194424	Bacteria	Pseudomonadati	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum	Sulfurospirillum halorespirans	3.492948287441236	0.9279540371750958	0.26566498007185496	0.0
NR_028775.1	1	1521	1	1438	94.5431	0.945431	43.7	1.0	115783	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfuromonadia	Geobacterales	Geobacteraceae	Trichlorobacter	Trichlorobacter thiogenes	0.94543063773833	0.22713772686197337	0.24024790163912482	0.0
NR_028780.1	1	1524	1	1452	95.2756	0.952756	44.0	1.0	153026	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulforegulaceae	Desulforegula	Desulforegula conservatrix	0.952755905511811	0.2121605289024744	0.22268088570755576	0.0
NR_028785.1	1	1529	3	1526	99.8038	2.6344	34.2	3.67	29347	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	[Clostridium] scindens	2.634401569653368	0.5606630181365432	0.21282367297189042	0.0
NR_028810.1	1	1506	1	1227	81.4741	0.814741	42.5	1.0	148604	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus ingluviei	0.8147410358565738	0.3885075035928274	0.47684784059559737	0.0
NR_028816.1	1	1508	13	1508	100.0	11.5756	36.4	27.9	154288	Bacteria	Bacillati	Bacillota	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter	Turicibacter sanguinis	11.575596816976127	0.7384755440911034	0.06379589370356233	0.01
NR_028835.1	1	1546	1	1526	98.7063	0.987063	42.9	49.0	180295	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Atopostipes	Atopostipes suicloacalis	0.9870633893919794	0.11300112704746235	0.11448213788687862	0.0
NR_028840.1	1	1543	2	1505	97.5373	1.90797	44.1	1.0	187979	Bacteria	Bacillati	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella jalaludinii	1.9079714841218405	0.3644365058311651	0.19100731266898363	0.0
NR_028865.1	1	1507	3	1453	96.4167	2.73723	38.5	15.7	76853	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	Solibacillus	Solibacillus silvestris	2.7372262773722627	0.6844279918817451	0.2500443597007975	0.0
NR_028868.1	1	1495	1	1422	95.1171	0.951171	34.5	1.0	78120	Bacteria	Bacillati	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succinispira	Succinispira mobilis	0.9511705685618729	0.2155112945150572	0.22657481385373457	0.0
NR_028876.1	1	1467	1	1297	88.4117	0.884117	19.5	0.0	83264	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Aminobacter	Aminobacter aganoensis	0.8841172460804363	0.32008427212779567	0.36203826307746817	0.0
NR_028882.1	1	1363	1	1290	94.6442	0.946442	44.8	1.0	88874	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Luteococcus	Luteococcus peritonei	0.946441672780631	0.2251440268024708	0.23788473529594395	0.0
NR_028897.1	1	1519	1	1443	94.9967	0.949967	36.6	2.0	90733	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteriaceae	Desulfobacterium	Desulfobacterium indolicum	0.9499670836076366	0.21801289794330947	0.2294952127345025	0.0
NR_028910.1	1	1500	16	1496	99.7333	13.8227	39.6	9.56	109325	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Syntrophomonadaceae	Pelospora	Pelospora glutarica	13.822666666666667	4.074868450501096	0.2947961163186864	0.02
NR_028911.1	1	1488	26	1488	100.0	23.0255	37.7	4.73	109327	Bacteria	Bacillati	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Anaerovorax	Anaerovorax odorimutans	23.025537634408604	4.951039152485428	0.21502382402948794	0.03
NR_028913.1	1	1419	1	1294	91.191	0.91191	36.3	1.0	110845	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Salinicoccaceae	Phocicoccus	Phocicoccus pinnipedialis	0.9119097956307258	0.28342604020000584	0.31080490807094924	0.0
NR_028920.1	1	1437	2	1432	99.6521	1.93459	34.1	1.0	119641	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium uliginosum	1.9345859429366736	0.2609482715838954	0.1348858511748409	0.0
NR_028925.1	1	1477	1	1378	93.2972	0.932972	42.8	1.0	136274	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter roseus	0.932972241029113	0.25007006717763564	0.26803591380360514	0.0
NR_028927.1	1	1500	1	1408	93.8667	0.938667	45.1	20.0	2378	Bacteria	Bacillati	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Sporomusa	Sporomusa ovata	0.9386666666666666	0.23994073342297612	0.25561867907277286	0.0
NR_028934.1	1	1478	1	724	48.9851	0.489851	37.0	1.0	132932	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium tundrae	0.489851150202977	0.4998969902367855	1.0205079441574159	0.0
NR_028939.1	1	1515	10	1262	83.3003	6.42772	37.9	2.4	167644	Bacteria	Fusobacteriati	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter	Ilyobacter tartaricus	6.427722772277228	3.7880161603925995	0.5893247569310729	0.01
NR_028945.2	1	1522	1	1464	96.1892	0.961892	40.7	1.0	152142	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium holsaticum	0.961892247043364	0.191456397441381	0.19904141865149036	0.0
NR_028964.1	1	1435	1	1162	80.9756	0.809756	30.1	1.0	179628	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium colicanis	0.8097560975609757	0.3924935159003208	0.4847058479491913	0.0
NR_028991.1	1	1536	40	1532	99.7396	38.043	39.5	6.2	204936	Bacteria	Bacillati	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	Sporomusa	Sporomusa aerivorans	38.04296875	4.7158285701655975	0.12396058260215556	0.04
NR_028997.1	1	1428	2	1361	95.3081	1.7486	39.8	1.0	214851	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Subdoligranulum	Subdoligranulum variabile	1.7485994397759104	0.531070478898147	0.3037119118408305	0.0
NR_029001.1	1	1525	4	1523	99.8689	3.7659	38.2	16.2	219182	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia thiooxydans	3.7659016393442624	0.48951423579553477	0.12998593236778522	0.0
NR_029002.1	1	1438	1	1434	99.7218	0.997218	44.0	1.0	220684	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	Neobacillus drentensis	0.9972183588317107	0.052667861554273956	0.05281477330198462	0.0
NR_029023.1	1	1527	36	1523	99.738	32.9941	36.1	8.94	249409	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga atypica	32.99410609037328	4.145594149756365	0.1256465060275092	0.04
NR_029024.1	1	1502	6	1502	100.0	5.9241	39.5	3.83	249410	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga defluvii	5.924101198402131	0.3257149634706013	0.054981330089103525	0.01
NR_029033.1	1	1521	2	1494	98.2249	1.92899	38.8	6.0	148	Bacteria	Pseudomonadati	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	Sediminispirochaeta bajacaliforniensis	1.9289940828402368	0.3185389073063878	0.16513213292877157	0.0
NR_029041.1	1	1497	1	1009	67.4015	0.674015	28.7	1.0	165096	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella koreensis	0.6740146960587843	0.4687418111877449	0.6954474641705194	0.0
NR_029057.1	1	1549	1	1174	75.7908	0.757908	25.3	1.0	198484	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus lamae	0.7579083279535184	0.4283495002590994	0.565173233306086	0.0
NR_029071.1	1	1547	8	1539	99.4829	7.34454	37.3	1.0	221028	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus favisporus	7.34453781512605	1.338447746011288	0.1822371645026811	0.01
NR_029084.1	1	1550	1	1268	81.8065	0.818065	38.3	1.0	227942	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus gastricus	0.8180645161290323	0.3857913472067569	0.47159036921961606	0.0
NR_029087.1	1	1490	1	1238	83.0872	0.830872	38.8	1.0	236510	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptantibioticus	Streptantibioticus ferralitis	0.8308724832214766	0.3748645086519312	0.4511697236602403	0.0
NR_029131.1	1	1419	1	1405	99.0134	0.990134	43.7	1.0	45462	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus borstelensis	0.9901338971106413	0.09883705227866411	0.09982190546862946	0.0
NR_029133.1	1	1519	3	1500	98.7492	2.43055	39.0	0.667	1589	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus pentosus	2.4305464121132325	0.5693641548269471	0.23425356207533388	0.0
NR_029137.1	1	1514	2	1272	84.0159	1.6288	34.9	0.5	78257	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pullorum	1.6287978863936592	0.7437029403662478	0.45659620912996723	0.0
NR_029146.1	1	1457	219	1449	99.4509	206.833	39.4	13.1	29345	Bacteria	Bacillati	Bacillota	Tissierellia	unclassified Tissierellia order	unclassified Tissierellia family	Sedimentibacter	Sedimentibacter hydroxybenzoicus	206.83321894303364	23.57045939468067	0.11395877081607712	0.24
NR_029150.1	1	1534	1	968	63.103	0.63103	32.5	1.0	31909	Bacteria	Bacillati	Bacillota	Clostridia	Halanaerobiales	Halothermotrichaceae	Halothermothrix	Halothermothrix orenii	0.6310299869621904	0.4825257946645834	0.7646638109663956	0.0
NR_029151.1	1	1544	1	1223	79.2098	0.792098	38.9	1.0	35841	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus thermoamylovorans	0.792098445595855	0.40580598576226595	0.5123176140776277	0.0
NR_029161.2	1	1533	368	1527	99.6086	348.629	38.3	6.66	285	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni	348.62883235485975	34.63685247893777	0.09935165787917927	0.41
NR_029165.1	1	1457	2	1386	95.127	1.6733	41.5	10.0	2122	Bacteria	Bacillati	Mycoplasmatota	unclassified Mycoplasmatota class	Mycoplasmoidales	Mycoplasmoidaceae	Mycoplasmoides	Mycoplasmoides pirum	1.6733013040494167	0.5634067743303888	0.3367037203442889	0.0
NR_029170.1	1	1459	1	1208	82.7964	0.827964	36.9	1.0	1098	Bacteria	Pseudomonadati	Chlorobiota	Chlorobiia	Chlorobiales	Chlorobiaceae	Prosthecochloris	Prosthecochloris vibrioformis	0.8279643591501028	0.3774114189147747	0.45583051340782804	0.0
NR_029175.1	1	1416	5	1122	79.2373	3.12429	34.2	1.0	33924	Bacteria	Bacillati	Mycoplasmatota	unclassified Mycoplasmatota class	Mycoplasmoidales	Mycoplasmoidaceae	Mycoplasmoides	[Mycoplasma] testudinis	3.1242937853107344	1.7373685158934686	0.5560835936946545	0.01
NR_029176.1	1	1441	1	1181	81.957	0.81957	31.5	6.0	34032	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	Desulfobulbus rhabdoformis	0.8195697432338653	0.38454541891620775	0.46920402087913243	0.0
NR_029208.1	1	1517	1	1432	94.3968	0.943968	38.4	1.0	59813	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium novocastrense	0.9439683586025049	0.2299828179664639	0.24363403272005985	0.0
NR_029221.1	1	1393	1	1306	93.7545	0.937545	42.8	1.0	2741	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Peptococcus	Peptococcus niger	0.9375448671931084	0.24198034877437005	0.2581000197876704	0.0
NR_029229.1	1	1508	2	1507	99.9337	1.99072	41.1	9.0	1561	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium baratii	1.990716180371353	0.1025860140014188	0.051532214894783324	0.0
NR_029230.1	1	1503	22	1502	99.9335	21.0645	38.1	3.95	1520	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium beijerinckii	21.0645375914837	1.5902103731965864	0.07549229914448735	0.02
NR_029231.1	1	1503	1	1465	97.4717	0.974717	32.6	26.0	1509	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sporogenes	0.9747172322022621	0.15698264060151443	0.16105454527240695	0.0
NR_029232.1	1	1504	4	1504	100.0	3.82114	35.4	1.0	29341	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium argentinense	3.8211436170212765	0.4647749061822378	0.12163240976128166	0.0
NR_029233.1	1	1533	3	1286	83.8878	2.25897	33.3	1.0	1459	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	Sporosarcina	Sporosarcina globispora	2.258969341161122	1.1003732900262286	0.48711298111758833	0.0
NR_029235.1	1	1540	1	1104	71.6883	0.716883	24.2	1.0	309799	Bacteria	Pseudomonadati	Dictyoglomota	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus	Dictyoglomus thermophilum	0.7168831168831169	0.4505127230290652	0.6284326027760511	0.0
NR_029238.1	1	1537	5	1535	99.8699	4.41965	37.6	1.0	29542	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Syntrophotaleaceae	Syntrophotalea	Syntrophotalea acetylenica	4.419648666232921	0.8666174306834941	0.19608287810400862	0.01
NR_029239.3	1	1460	21	1460	100.0	19.6664	39.4	23.2	29356	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium chartatabidum	19.666438356164385	2.391846234728208	0.12162071196681586	0.02
NR_029247.1	1	1519	60	1498	98.6175	47.2725	39.8	1.0	1547	Bacteria	Bacillati	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Thomasclavelia	Thomasclavelia ramosa	47.27254772876893	23.574083990077874	0.4986844399700348	0.07
NR_029248.1	1	1517	14	1516	99.9341	12.6493	35.8	1.07	500632	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	[Clostridium] nexile	12.649307844429796	2.5694611052286436	0.20313056942164012	0.02
NR_029250.1	1	1500	1	1445	96.3333	0.963333	41.2	1.0	29365	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Hathewaya	Hathewaya proteolytica	0.9633333333333334	0.18794207145346908	0.1950955759032551	0.0
NR_029260.1	1	1508	1	1245	82.5597	0.825597	39.9	1.0	1513	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium tetani	0.8255968169761273	0.37945581136018247	0.4596139466113696	0.0
NR_029261.2	1	1570	2	1065	67.8344	1.32675	37.8	1.0	1625	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus sanfranciscensis	1.326751592356688	0.9291378214021264	0.7003103118585399	0.0
NR_029263.1	1	1385	5	1385	100.0	4.62816	35.2	44.4	36845	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium intestinale	4.628158844765343	0.7055744030973855	0.15245250363336643	0.01
NR_029269.1	1	1521	2	1269	83.432	1.41157	36.6	1.0	28446	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum propionicum	1.4115713346482577	0.7573251071301326	0.5365121043059765	0.0
NR_029283.1	1	1511	1	595	39.3779	0.393779	15.3	1.0	309797	Bacteria	Pseudomonadati	Chrysiogenota	Chrysiogenia	Chrysiogenales	Chrysiogenaceae	Chrysiogenes	Chrysiogenes arsenatis	0.3937789543348776	0.48858682898519507	1.2407641993220668	0.0
NR_029287.1	1	1519	2	1493	98.2883	1.79263	40.9	1.0	42253	Bacteria	Pseudomonadati	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira moscoviensis	1.792626728110599	0.4456485678796909	0.24860087205628004	0.0
NR_029289.1	1	1482	1	1351	91.1606	0.911606	44.9	1.0	40218	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulforhabdus	Desulforhabdus amnigena	0.9116059379217274	0.28386713770278876	0.3113923745932886	0.0
NR_029294.1	1	1549	3	1545	99.7418	2.79923	36.3	7.33	43774	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Syntrophia	Syntrophales	Syntrophaceae	Syntrophus	Syntrophus buswellii	2.7992253066494515	0.4619541046626917	0.16502926847843852	0.0
NR_029295.1	1	1548	12	1545	99.8062	10.2862	34.5	7.5	43775	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Syntrophia	Syntrophales	Syntrophaceae	Syntrophus	Syntrophus gentianae	10.286175710594316	2.5797642462103147	0.2507991617869476	0.01
NR_029297.1	1	1481	1	1218	82.2417	0.822417	32.7	1.0	1272	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria	Kocuria varians	0.8224172856178258	0.38216108375243274	0.4646802668615377	0.0
NR_029305.1	1	1454	3	1449	99.6561	2.86726	38.8	1.0	53332	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	Desulfobulbus elongatus	2.8672627235213204	0.44919437716083704	0.15666313849648766	0.0
NR_029308.2	1	1568	11	1315	83.8648	7.80038	36.2	1.0	53444	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus lindneri	7.800382653061225	4.302535424382546	0.5515800462294033	0.01
NR_029315.1	1	1468	1	1360	92.6431	0.926431	41.0	1.0	52786	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Anaerofilum	Anaerofilum agile	0.9264305177111717	0.26106898238699655	0.2818009309883169	0.0
NR_029325.1	1	1489	1	1440	96.7092	0.967092	37.7	14.0	55507	Bacteria	Bacillati	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Schwartzia	Schwartzia succinivorans	0.9670920080591001	0.17839578472407064	0.1844661968431536	0.0
NR_029338.2	1	1511	1	1249	82.6605	0.826605	36.2	1.0	58180	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Oleidesulfovibrio	Oleidesulfovibrio alaskensis	0.8266048974189278	0.3785884850097411	0.45800416401098387	0.0
NR_029351.1	1	1502	3	1496	99.6005	2.65047	37.4	1.0	87650	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Hutsoniella	Hutsoniella sourekii	2.6504660452729696	0.7404494774171629	0.27936576615940184	0.0
NR_029355.1	1	1435	29	1433	99.8606	23.1944	38.1	9.34	84026	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	unclassified Oscillospiraceae genus	[Clostridium] methylpentosum	23.194425087108012	9.56411540159973	0.4123454392890162	0.03
NR_029356.1	1	1550	69	1500	96.7742	60.169	37.7	2.42	292800	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor	Flavonifractor plautii	60.16903225806452	16.130070366592257	0.2680792720316742	0.08
NR_029357.1	1	1470	3	1433	97.483	2.59524	35.7	0.667	84035	Bacteria	Bacillati	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Propionispira	Propionispira arboris	2.5952380952380953	0.7649492743249453	0.294751096528878	0.0
NR_029361.1	1	1396	1	1187	85.0287	0.850287	41.4	1.0	173	Bacteria	Pseudomonadati	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira interrogans	0.8502865329512894	0.3567903373593033	0.4196118879137215	0.0
NR_036764.1	1	1524	6	1521	99.8031	5.63123	36.1	1.17	149712	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulfovirga	Desulfovirga adipica	5.631233595800525	0.784007338685546	0.13922479423872897	0.01
NR_036777.1	1	1418	1	1282	90.409	0.90409	25.9	1.0	33039	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] torques	0.9040902679830748	0.2944674096082085	0.32570576195354106	0.0
NR_036779.1	1	1448	2	1371	94.6823	1.73964	40.6	6.0	44676	Bacteria	Pseudomonadati	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Geothrix	Geothrix fermentans	1.7396408839779005	0.5467411068197789	0.3142838914946566	0.0
NR_036793.2	1	1552	1133	1552	100.0	1063.78	37.4	11.5	43064	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	Trichococcus pasteurii	1063.7828608247423	86.79073297282386	0.08158688785936606	1.26
